epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5172,0.65351,1.39147,3.3114,0.86664,0.01929,0.82653,0.02112,0.01524,0.0204,0.87415,0.03344,0.02405,0.41494,1.32855,2.98557,0.81671,6e-05,6e-05,6e-05
2,22.2066,0.64024,1.26854,3.34142,0.85279,0.02325,0.9966,0.36641,0.23836,0.02333,1,0.40903,0.33814,0.51259,0.48097,2.86099,0.77781,0.000139076,0.000139076,0.000139076
3,30.5034,0.6056,0.56812,2.89386,0.81665,0.02333,1,0.97053,0.71864,0.02333,1,0.97053,0.78865,0.48633,0.34613,2.79614,0.76814,0.000217096,0.000217096,0.000217096
4,39.3528,0.62154,0.50285,2.10607,0.80126,0.02333,1,0.98771,0.75017,0.02333,1,0.98771,0.81898,0.53559,0.46262,2.73603,0.77268,0.00029406,0.00029406,0.00029406
5,48.2042,0.64407,0.46546,1.55238,0.80404,0.02333,1,0.98778,0.79239,0.02333,1,0.98778,0.89192,0.48801,0.30908,2.6717,0.76793,0.000369968,0.000369968,0.000369968
6,55.8914,0.59866,0.38998,1.15681,0.8003,0.02333,1,0.91596,0.67496,0.02333,1,0.91818,0.76638,0.57037,0.32709,2.68538,0.77603,0.00044482,0.00044482,0.00044482
7,64.1456,0.57568,0.37294,0.8968,0.79793,0.02325,0.9966,0.90295,0.73806,0.02325,0.9966,0.90814,0.77934,0.53443,0.41548,2.69363,0.7838,0.000518616,0.000518616,0.000518616
8,73.6749,0.53062,0.38295,0.70548,0.79846,0.02325,0.9966,0.83413,0.6789,0.02325,0.9966,0.83982,0.73137,0.50596,0.37877,2.68094,0.78345,0.000591356,0.000591356,0.000591356
9,83.1064,0.55478,0.40496,0.64256,0.81759,0.02325,0.9966,0.17548,0.13364,0.02325,0.9966,0.19132,0.16257,0.52272,0.36489,2.67161,0.7917,0.00066304,0.00066304,0.00066304
10,92.1309,0.53431,0.38282,0.62817,0.81309,0.02333,1,0.06417,0.05157,0.02333,1,0.06578,0.05874,0.48001,0.34249,2.68563,0.78149,0.000733668,0.000733668,0.000733668
11,101.198,0.44985,0.33511,0.58461,0.80683,0.02325,0.9966,0.08073,0.07118,0.02333,1,0.08083,0.07226,0.48723,0.34042,2.71814,0.78872,0.00080324,0.00080324,0.00080324
12,109.581,0.47864,0.32866,0.56922,0.80862,0.02333,1,0.07563,0.06281,0.02333,1,0.07979,0.06921,0.47329,0.27579,2.61456,0.78109,0.000871756,0.000871756,0.000871756
13,118.003,0.43321,0.31997,0.54365,0.80404,0.02333,1,0.12997,0.1097,0.02333,1,0.13897,0.12235,0.45076,0.25814,2.53244,0.77644,0.000939216,0.000939216,0.000939216
14,126.3,0.49149,0.33072,0.54819,0.80117,0.02333,1,0.22039,0.18875,0.02333,1,0.23274,0.20763,0.53739,0.2429,2.52803,0.784,0.00100562,0.00100562,0.00100562
15,136.335,0.44954,0.29397,0.54547,0.79965,0.02333,1,0.28305,0.24888,0.02333,1,0.29376,0.2632,0.45363,0.22852,2.47824,0.77814,0.00107097,0.00107097,0.00107097
16,146.135,0.46107,0.30403,0.53325,0.80669,0.02333,1,0.37078,0.31381,0.02333,1,0.39111,0.34752,0.49186,0.26576,2.45403,0.78097,0.00113526,0.00113526,0.00113526
17,156.54,0.48268,0.32562,0.53611,0.80486,0.02333,1,0.68935,0.61882,0.02333,1,0.69863,0.63569,0.45745,0.25994,2.37915,0.77631,0.0011985,0.0011985,0.0011985
18,166.583,0.45411,0.30713,0.51126,0.79746,0.02333,1,0.93507,0.83125,0.02333,1,0.93628,0.85532,0.48403,0.25997,2.26878,0.78117,0.00126068,0.00126068,0.00126068
19,175.764,0.44357,0.31208,0.50683,0.81449,0.02333,1,0.98649,0.88335,0.02333,1,0.98649,0.91632,0.48636,0.26763,2.20445,0.78075,0.0013218,0.0013218,0.0013218
20,186.014,0.43531,0.31724,0.4904,0.80461,0.77126,1,0.99442,0.90081,0.77126,1,0.99442,0.89412,0.45856,0.30362,2.08904,0.77676,0.00138187,0.00138187,0.00138187
21,194.481,0.4206,0.32927,0.4739,0.80322,1,0.73642,0.9948,0.88785,1,0.73642,0.9948,0.88489,0.48851,0.35161,1.92299,0.78241,0.00144088,0.00144088,0.00144088
22,203.467,0.44593,0.30927,0.50042,0.80436,1,0.525,0.99493,0.89131,1,0.525,0.99493,0.91662,0.49056,0.26208,1.81734,0.7805,0.00149884,0.00149884,0.00149884
23,212.491,0.43162,0.31414,0.48994,0.80853,1,0.77229,0.995,0.92737,1,0.77229,0.995,0.87885,0.37399,0.29172,1.64733,0.77126,0.00155574,0.00155574,0.00155574
24,220.148,0.41375,0.30734,0.45694,0.80046,1,0.96942,0.995,0.88196,1,0.96942,0.995,0.90369,0.49758,0.25241,1.40532,0.78215,0.00161158,0.00161158,0.00161158
25,229.025,0.42571,0.27745,0.47638,0.81248,1,0.90085,0.99497,0.90734,1,0.90085,0.99497,0.87471,0.41339,0.27503,1.43281,0.77479,0.00166637,0.00166637,0.00166637
26,237.935,0.41517,0.27093,0.45825,0.81313,1,0.98304,0.995,0.90108,1,0.98304,0.995,0.88839,0.44057,0.24428,1.26251,0.77771,0.00167,0.00167,0.00167
27,247.122,0.40754,0.28914,0.43347,0.80196,0.99921,1,0.995,0.90451,0.99921,1,0.995,0.92405,0.4258,0.237,1.05823,0.7773,0.0016568,0.0016568,0.0016568
28,255.992,0.42706,0.32264,0.44813,0.80265,1,0.99911,0.995,0.9135,1,0.99911,0.995,0.90279,0.39662,0.23026,1.05237,0.77482,0.0016436,0.0016436,0.0016436
29,265.185,0.40638,0.27892,0.44935,0.80214,0.9994,1,0.995,0.91886,0.9994,1,0.995,0.92623,0.39044,0.23776,1.00794,0.77359,0.0016304,0.0016304,0.0016304
30,273.92,0.3951,0.2534,0.43179,0.80498,0.99981,1,0.995,0.89888,0.99981,1,0.995,0.92031,0.44821,0.21043,0.74183,0.78013,0.0016172,0.0016172,0.0016172
31,282.139,0.4153,0.2563,0.45192,0.78628,0.99978,1,0.995,0.9096,0.99978,1,0.995,0.93952,0.40287,0.19841,0.59122,0.77412,0.001604,0.001604,0.001604
32,291.045,0.40713,0.28508,0.42334,0.79372,0.9994,1,0.995,0.92206,0.9994,1,0.995,0.9096,0.3673,0.26301,0.56054,0.7705,0.0015908,0.0015908,0.0015908
33,299.701,0.4243,0.32071,0.43489,0.79791,0.99966,1,0.995,0.92525,0.99966,1,0.995,0.90958,0.38918,0.23806,0.55989,0.77278,0.0015776,0.0015776,0.0015776
34,307.405,0.42519,0.30987,0.43713,0.79602,0.99966,1,0.995,0.93343,0.99966,1,0.995,0.89719,0.33554,0.25259,0.53953,0.76947,0.0015644,0.0015644,0.0015644
35,315.321,0.41919,0.2857,0.4131,0.79863,0.99957,1,0.995,0.92149,0.99957,1,0.995,0.93162,0.37229,0.22793,0.49734,0.77324,0.0015512,0.0015512,0.0015512
36,323.221,0.41662,0.28806,0.40625,0.80623,0.99932,1,0.995,0.94512,0.99932,1,0.995,0.90343,0.32144,0.25197,0.45752,0.76876,0.001538,0.001538,0.001538
37,332.093,0.4038,0.2859,0.41054,0.79623,0.99948,1,0.995,0.92514,0.99948,1,0.995,0.93321,0.37827,0.22184,0.43429,0.77591,0.0015248,0.0015248,0.0015248
38,340.216,0.38379,0.28665,0.39129,0.8021,0.99966,1,0.995,0.92874,0.99966,1,0.995,0.91602,0.34772,0.20537,0.38709,0.77277,0.0015116,0.0015116,0.0015116
39,349.099,0.40422,0.28355,0.39922,0.79979,0.99972,1,0.995,0.9343,0.99972,1,0.995,0.93417,0.34752,0.20123,0.36655,0.77375,0.0014984,0.0014984,0.0014984
40,357.708,0.37568,0.27297,0.38496,0.80223,0.9997,1,0.995,0.93356,0.9997,1,0.995,0.90215,0.32918,0.18596,0.37814,0.76968,0.0014852,0.0014852,0.0014852
41,365.951,0.37001,0.26876,0.376,0.7972,0.99969,1,0.995,0.94426,0.99969,1,0.995,0.93581,0.33511,0.19927,0.36143,0.7691,0.001472,0.001472,0.001472
42,373.96,0.37675,0.30048,0.37785,0.79361,0.99972,1,0.995,0.94919,0.99972,1,0.995,0.91264,0.3021,0.20094,0.35265,0.76805,0.0014588,0.0014588,0.0014588
43,383.025,0.36104,0.25568,0.36688,0.79255,0.99955,1,0.995,0.93879,0.99955,1,0.995,0.92072,0.33306,0.18603,0.36364,0.77055,0.0014456,0.0014456,0.0014456
44,391.25,0.37253,0.27811,0.37086,0.79856,0.99959,1,0.995,0.93993,0.99959,1,0.995,0.9095,0.3089,0.20353,0.34278,0.76855,0.0014324,0.0014324,0.0014324
45,401.189,0.3492,0.26619,0.3564,0.79294,0.99976,1,0.995,0.93396,0.99976,1,0.995,0.91984,0.32865,0.20014,0.33853,0.7709,0.0014192,0.0014192,0.0014192
46,409.156,0.36488,0.25675,0.36823,0.78578,0.99974,1,0.995,0.9465,0.99974,1,0.995,0.90879,0.32077,0.18106,0.33132,0.77177,0.001406,0.001406,0.001406
47,418.466,0.35233,0.25295,0.35674,0.79654,0.99968,1,0.995,0.95383,0.99968,1,0.995,0.9166,0.30253,0.21301,0.32164,0.77168,0.0013928,0.0013928,0.0013928
48,426.018,0.35792,0.2637,0.36302,0.79619,0.99923,1,0.995,0.93723,0.99923,1,0.995,0.92847,0.34344,0.17521,0.30619,0.77445,0.0013796,0.0013796,0.0013796
49,435.29,0.36938,0.29088,0.35513,0.78515,0.9995,1,0.995,0.96418,0.9995,1,0.995,0.91075,0.26281,0.20294,0.28864,0.76793,0.0013664,0.0013664,0.0013664
50,443.985,0.33736,0.24238,0.33658,0.79089,0.99894,1,0.995,0.92891,0.99894,1,0.995,0.93527,0.33417,0.18456,0.30709,0.77063,0.0013532,0.0013532,0.0013532
51,453.014,0.37171,0.25988,0.35543,0.79186,0.99912,1,0.995,0.9627,0.99912,1,0.995,0.91412,0.26616,0.19778,0.28348,0.76899,0.00134,0.00134,0.00134
52,461.504,0.34795,0.25466,0.34013,0.79489,0.99953,1,0.995,0.94405,0.99953,1,0.995,0.90895,0.31042,0.2119,0.29042,0.77157,0.0013268,0.0013268,0.0013268
53,471.179,0.36395,0.27408,0.34329,0.78997,0.99949,1,0.995,0.9507,0.99949,1,0.995,0.90822,0.2989,0.18609,0.29796,0.77067,0.0013136,0.0013136,0.0013136
54,479.232,0.35952,0.25265,0.34475,0.78275,0.99967,1,0.995,0.96094,0.99967,1,0.995,0.91375,0.27166,0.1957,0.28664,0.76912,0.0013004,0.0013004,0.0013004
55,489.113,0.31351,0.21934,0.32267,0.79392,0.99957,1,0.995,0.97023,0.99957,1,0.995,0.8981,0.25415,0.19994,0.28197,0.76843,0.0012872,0.0012872,0.0012872
56,496.754,0.32665,0.21642,0.3208,0.78861,0.99937,1,0.995,0.95043,0.99937,1,0.995,0.90611,0.28821,0.20715,0.28586,0.77019,0.001274,0.001274,0.001274
57,504.593,0.36029,0.24286,0.33595,0.79128,0.99951,1,0.995,0.96204,0.99951,1,0.995,0.90748,0.28331,0.18367,0.2838,0.76916,0.0012608,0.0012608,0.0012608
58,514.084,0.34775,0.25574,0.33244,0.79804,0.9996,1,0.995,0.95355,0.9996,1,0.995,0.91663,0.31147,0.19167,0.28968,0.7709,0.0012476,0.0012476,0.0012476
59,523.013,0.34857,0.26222,0.33551,0.78272,0.99893,1,0.995,0.95327,0.99893,1,0.995,0.90833,0.29087,0.21242,0.28392,0.77193,0.0012344,0.0012344,0.0012344
60,531.184,0.34426,0.25383,0.33496,0.79829,0.99933,1,0.995,0.96497,0.99933,1,0.995,0.90754,0.28987,0.18085,0.27937,0.77249,0.0012212,0.0012212,0.0012212
61,539.469,0.33622,0.20548,0.32948,0.79,0.99943,1,0.995,0.954,0.99943,1,0.995,0.92047,0.2959,0.17953,0.26674,0.77101,0.001208,0.001208,0.001208
